Tag title,HD folder,Geographical coordinates
Costa Rica/Colima de Tibás/Familia/Cumpleaños de Ileana,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cumpleaños de Ileana/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases candelas,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases candelas/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Adorno queques,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Adorno queques/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Corona Navideña,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Corona Navideña/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Masapan,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Masapan/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Arrollado,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Arrollado/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Ayote,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Ayote/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Dora la exploradora,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Dora la exploradora/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Gelatina,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Gelatina/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Les quiero mucho,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Les quiero mucho/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Melocoton,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Melocoton/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Pastillaje,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Pastillaje/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque arbol navideño corn flakes,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque arbol navideño corn flakes/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque arbol navideño verde,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque arbol navideño verde/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque lustre de coco,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque lustre de coco/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque muñeca,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque muñeca/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque navideño tradicional,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque navideño tradicional/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque seco,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque seco/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque verde navideño,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queque verde navideño/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queques de cumpleaños,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Queques de cumpleaños/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Spiderman,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Clases de cocina/Queques/Spiderman/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Postres,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Cursos de Rosibel/Postres/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Despedida CR/DVD/OpenDVD/Sources,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Despedida CR/DVD/OpenDVD/Sources/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Despedida CR/DVD/VIDEO_TS,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Despedida CR/DVD/VIDEO_TS/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Despedida CR/Fiesta,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Despedida CR/Fiesta/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Despedida CR/Paseo Tucurrique/bici,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Despedida CR/Paseo Tucurrique/bici/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Despedida CR/Paseo Tucurrique/panoramicas,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Despedida CR/Paseo Tucurrique/panoramicas/,9.9501;-84.073
Costa Rica/Colima de Tibás/Familia/Despedida CR/Paseo Tucurrique/videos,/media/patito/seagate/Personal/Fotos/Camera/Latinoamerica/Costa Rica/Colima de Tibás/Familia/Despedida CR/Paseo Tucurrique/videos/,9.9501;-84.073
